Park,Region,State,Year,Month,Recreation Visits
Arches,Intermountain,UT,2021,December,53914
Arches,Intermountain,UT,2022,January,40621
Arches,Intermountain,UT,2022,February,51568
Arches,Intermountain,UT,2022,March,141866
Arches,Intermountain,UT,2022,April,148996
Arches,Intermountain,UT,2022,May,172114
Arches,Intermountain,UT,2022,June,171859
Arches,Intermountain,UT,2022,July,158925
Arches,Intermountain,UT,2022,August,142790
Arches,Intermountain,UT,2022,September,158728
Arches,Intermountain,UT,2022,October,146986
Arches,Intermountain,UT,2022,November,83239
Arches,Intermountain,UT,2022,December,42960
Badlands,Midwest,SD,2012,January,9660
Badlands,Midwest,SD,2012,February,10908
Badlands,Midwest,SD,2012,March,22784
Badlands,Midwest,SD,2012,April,31658
Badlands,Midwest,SD,2012,May,72568
Badlands,Midwest,SD,2012,June,162676
Badlands,Midwest,SD,2012,July,209064
Badlands,Midwest,SD,2012,August,189830
Badlands,Midwest,SD,2012,September,103606
Badlands,Midwest,SD,2012,October,40449
Badlands,Midwest,SD,2012,November,17791
Badlands,Midwest,SD,2012,December,12412
Badlands,Midwest,SD,2013,January,11882
Badlands,Midwest,SD,2013,February,11033
Badlands,Midwest,SD,2013,March,18258
Badlands,Midwest,SD,2013,April,20750
Badlands,Midwest,SD,2013,May,65043
Badlands,Midwest,SD,2013,June,177507
Badlands,Midwest,SD,2013,July,225096
Badlands,Midwest,SD,2013,August,208579
Badlands,Midwest,SD,2013,September,104029
Badlands,Midwest,SD,2013,October,25530
Badlands,Midwest,SD,2013,November,16663
Badlands,Midwest,SD,2013,December,8002
Badlands,Midwest,SD,2014,January,9548
Badlands,Midwest,SD,2014,February,8671
Badlands,Midwest,SD,2014,March,15898
Badlands,Midwest,SD,2014,April,25054
Badlands,Midwest,SD,2014,May,63131
Badlands,Midwest,SD,2014,June,168011
Badlands,Midwest,SD,2014,July,210370
Badlands,Midwest,SD,2014,August,208807
Badlands,Midwest,SD,2014,September,96882
Badlands,Midwest,SD,2014,October,36929
Badlands,Midwest,SD,2014,November,13973
Badlands,Midwest,SD,2014,December,10820
Badlands,Midwest,SD,2015,January,10414
Badlands,Midwest,SD,2015,February,10942
Badlands,Midwest,SD,2015,March,21924
Badlands,Midwest,SD,2015,April,27193
Badlands,Midwest,SD,2015,May,68239
Badlands,Midwest,SD,2015,June,191593
Badlands,Midwest,SD,2015,July,245400
Badlands,Midwest,SD,2015,August,231866
Badlands,Midwest,SD,2015,September,117724
Badlands,Midwest,SD,2015,October,34498
Badlands,Midwest,SD,2015,November,16771
Badlands,Midwest,SD,2015,December,12790
Badlands,Midwest,SD,2016,January,10826
Badlands,Midwest,SD,2016,February,10921
Badlands,Midwest,SD,2016,March,20501
Badlands,Midwest,SD,2016,April,22812
Badlands,Midwest,SD,2016,May,78863
Badlands,Midwest,SD,2016,June,196209
Badlands,Midwest,SD,2016,July,249194
Badlands,Midwest,SD,2016,August,217071
Badlands,Midwest,SD,2016,September,129350
Badlands,Midwest,SD,2016,October,33380
Badlands,Midwest,SD,2016,November,17970
Badlands,Midwest,SD,2016,December,9166
Badlands,Midwest,SD,2017,January,10380
Badlands,Midwest,SD,2017,February,11149
Badlands,Midwest,SD,2017,March,21498
Badlands,Midwest,SD,2017,April,23166
Badlands,Midwest,SD,2017,May,85967
Badlands,Midwest,SD,2017,June,213966
Badlands,Midwest,SD,2017,July,263506
Badlands,Midwest,SD,2017,August,237125
Badlands,Midwest,SD,2017,September,127598
Badlands,Midwest,SD,2017,October,33426
Badlands,Midwest,SD,2017,November,16807
Badlands,Midwest,SD,2017,December,9737
Badlands,Midwest,SD,2018,January,10610
Badlands,Midwest,SD,2018,February,9456
Badlands,Midwest,SD,2018,March,16616
Badlands,Midwest,SD,2018,April,21343
Badlands,Midwest,SD,2018,May,84527
Badlands,Midwest,SD,2018,June,208645
Badlands,Midwest,SD,2018,July,263863
Badlands,Midwest,SD,2018,August,217350
Badlands,Midwest,SD,2018,September,116826
Badlands,Midwest,SD,2018,October,33527
Badlands,Midwest,SD,2018,November,16442
Badlands,Midwest,SD,2018,December,9737
Badlands,Midwest,SD,2019,January,8981
Badlands,Midwest,SD,2019,February,8059
Badlands,Midwest,SD,2019,March,16517
Badlands,Midwest,SD,2019,April,25083
Badlands,Midwest,SD,2019,May,71885
Badlands,Midwest,SD,2019,June,201516
Badlands,Midwest,SD,2019,July,250898
Badlands,Midwest,SD,2019,August,207743
Badlands,Midwest,SD,2019,September,118262
Badlands,Midwest,SD,2019,October,37727
Badlands,Midwest,SD,2019,November,15450
Badlands,Midwest,SD,2019,December,8877
Badlands,Midwest,SD,2020,January,10145
Badlands,Midwest,SD,2020,February,9979
Badlands,Midwest,SD,2020,March,17183
Badlands,Midwest,SD,2020,April,17290
Badlands,Midwest,SD,2020,May,55637
Badlands,Midwest,SD,2020,June,167784
Badlands,Midwest,SD,2020,July,238875
Badlands,Midwest,SD,2020,August,220523
Badlands,Midwest,SD,2020,September,109186
Badlands,Midwest,SD,2020,October,40508
Badlands,Midwest,SD,2020,November,18926
Badlands,Midwest,SD,2020,December,10896
Badlands,Midwest,SD,2021,January,14899
Badlands,Midwest,SD,2021,February,11350
Badlands,Midwest,SD,2021,March,28182
Badlands,Midwest,SD,2021,April,42749
Badlands,Midwest,SD,2021,May,109764
Badlands,Midwest,SD,2021,June,256041
Badlands,Midwest,SD,2021,July,288004
Badlands,Midwest,SD,2021,August,236282
Badlands,Midwest,SD,2021,September,138477
Badlands,Midwest,SD,2021,October,66941
Badlands,Midwest,SD,2021,November,23432
Badlands,Midwest,SD,2021,December,8105
Badlands,Midwest,SD,2022,January,12671
Badlands,Midwest,SD,2022,February,12866
Badlands,Midwest,SD,2022,March,25276
Badlands,Midwest,SD,2022,April,34943
Badlands,Midwest,SD,2022,May,98542
Badlands,Midwest,SD,2022,June,204969
Badlands,Midwest,SD,2022,July,224054
Badlands,Midwest,SD,2022,August,184816
Badlands,Midwest,SD,2022,September,121571
Badlands,Midwest,SD,2022,October,61115
Badlands,Midwest,SD,2022,November,19720
Badlands,Midwest,SD,2022,December,6266
Big Bend,Intermountain,TX,2012,January,22059
Big Bend,Intermountain,TX,2012,February,45585
Big Bend,Intermountain,TX,2012,March,32590
Big Bend,Intermountain,TX,2012,April,27375
Big Bend,Intermountain,TX,2012,May,37775
Big Bend,Intermountain,TX,2012,June,19330
Big Bend,Intermountain,TX,2012,July,14397
Big Bend,Intermountain,TX,2012,August,13451
Big Bend,Intermountain,TX,2012,September,16211
Big Bend,Intermountain,TX,2012,October,20958
Big Bend,Intermountain,TX,2012,November,24750
Big Bend,Intermountain,TX,2012,December,17574
Big Bend,Intermountain,TX,2013,January,22986
Big Bend,Intermountain,TX,2013,February,46573
Big Bend,Intermountain,TX,2013,March,39336
Big Bend,Intermountain,TX,2013,April,33664
Big Bend,Intermountain,TX,2013,May,39578
Big Bend,Intermountain,TX,2013,June,17284
Big Bend,Intermountain,TX,2013,July,13801
Big Bend,Intermountain,TX,2013,August,13856
Big Bend,Intermountain,TX,2013,September,14020
Big Bend,Intermountain,TX,2013,October,30835
Big Bend,Intermountain,TX,2013,November,22710
Big Bend,Intermountain,TX,2013,December,22310
Big Bend,Intermountain,TX,2014,January,28410
Big Bend,Intermountain,TX,2014,February,24159
Big Bend,Intermountain,TX,2014,March,53839
Big Bend,Intermountain,TX,2014,April,38574
Big Bend,Intermountain,TX,2014,May,23653
Big Bend,Intermountain,TX,2014,June,23963
Big Bend,Intermountain,TX,2014,July,14359
Big Bend,Intermountain,TX,2014,August,16246
Big Bend,Intermountain,TX,2014,September,22475
Big Bend,Intermountain,TX,2014,October,29882
Big Bend,Intermountain,TX,2014,November,17169
Big Bend,Intermountain,TX,2014,December,21373
Big Bend,Intermountain,TX,2015,January,30297
Big Bend,Intermountain,TX,2015,February,39199
Big Bend,Intermountain,TX,2015,March,68292
Big Bend,Intermountain,TX,2015,April,43927
Big Bend,Intermountain,TX,2015,May,30707
Big Bend,Intermountain,TX,2015,June,16697
Big Bend,Intermountain,TX,2015,July,22887
Big Bend,Intermountain,TX,2015,August,17562
Big Bend,Intermountain,TX,2015,September,16678
Big Bend,Intermountain,TX,2015,October,23237
Big Bend,Intermountain,TX,2015,November,42687
Big Bend,Intermountain,TX,2015,December,29577
Big Bend,Intermountain,TX,2016,January,36716
Big Bend,Intermountain,TX,2016,February,44176
Big Bend,Intermountain,TX,2016,March,54642
Big Bend,Intermountain,TX,2016,April,37280
Big Bend,Intermountain,TX,2016,May,40935
Big Bend,Intermountain,TX,2016,June,18630
Big Bend,Intermountain,TX,2016,July,16165
Big Bend,Intermountain,TX,2016,August,16144
Big Bend,Intermountain,TX,2016,September,18406
Big Bend,Intermountain,TX,2016,October,26806
Big Bend,Intermountain,TX,2016,November,45443
Big Bend,Intermountain,TX,2016,December,32947
Big Bend,Intermountain,TX,2017,January,35105
Big Bend,Intermountain,TX,2017,February,41670
Big Bend,Intermountain,TX,2017,March,74735
Big Bend,Intermountain,TX,2017,April,49609
Big Bend,Intermountain,TX,2017,May,37045
Big Bend,Intermountain,TX,2017,June,23500
Big Bend,Intermountain,TX,2017,July,20599
Big Bend,Intermountain,TX,2017,August,16382
Big Bend,Intermountain,TX,2017,September,19734
Big Bend,Intermountain,TX,2017,October,35094
Big Bend,Intermountain,TX,2017,November,45739
Big Bend,Intermountain,TX,2017,December,41064
Big Bend,Intermountain,TX,2018,January,33434
Big Bend,Intermountain,TX,2018,February,42670
Big Bend,Intermountain,TX,2018,March,75897
Big Bend,Intermountain,TX,2018,April,48454
Big Bend,Intermountain,TX,2018,May,35993
Big Bend,Intermountain,TX,2018,June,20335
Big Bend,Intermountain,TX,2018,July,19416
Big Bend,Intermountain,TX,2018,August,16895
Big Bend,Intermountain,TX,2018,September,21625
Big Bend,Intermountain,TX,2018,October,35547
Big Bend,Intermountain,TX,2018,November,46998
Big Bend,Intermountain,TX,2018,December,42827
Big Bend,Intermountain,TX,2019,January,29318
Big Bend,Intermountain,TX,2019,February,43129
Big Bend,Intermountain,TX,2019,March,83826
Big Bend,Intermountain,TX,2019,April,49312
Big Bend,Intermountain,TX,2019,May,37411
Big Bend,Intermountain,TX,2019,June,21228
Big Bend,Intermountain,TX,2019,July,21747
Big Bend,Intermountain,TX,2019,August,17238
Big Bend,Intermountain,TX,2019,September,21246
Big Bend,Intermountain,TX,2019,October,42724
Big Bend,Intermountain,TX,2019,November,50688
Big Bend,Intermountain,TX,2019,December,45965
Big Bend,Intermountain,TX,2020,January,43740
Big Bend,Intermountain,TX,2020,February,50584
Big Bend,Intermountain,TX,2020,March,61413
Big Bend,Intermountain,TX,2020,April,0
Big Bend,Intermountain,TX,2020,May,0
Big Bend,Intermountain,TX,2020,June,26735
Big Bend,Intermountain,TX,2020,July,0
Big Bend,Intermountain,TX,2020,August,10860
Big Bend,Intermountain,TX,2020,September,26515
Big Bend,Intermountain,TX,2020,October,51231
Big Bend,Intermountain,TX,2020,November,62515
Big Bend,Intermountain,TX,2020,December,60314
Big Bend,Intermountain,TX,2021,January,50298
Big Bend,Intermountain,TX,2021,February,43889
Big Bend,Intermountain,TX,2021,March,89914
Big Bend,Intermountain,TX,2021,April,67628
Big Bend,Intermountain,TX,2021,May,53067
Big Bend,Intermountain,TX,2021,June,33533
Big Bend,Intermountain,TX,2021,July,27321
Big Bend,Intermountain,TX,2021,August,20207
Big Bend,Intermountain,TX,2021,September,28985
Big Bend,Intermountain,TX,2021,October,49816
Big Bend,Intermountain,TX,2021,November,59467
Big Bend,Intermountain,TX,2021,December,57095
Big Bend,Intermountain,TX,2022,January,46768
Big Bend,Intermountain,TX,2022,February,47229
Big Bend,Intermountain,TX,2022,March,85414
Big Bend,Intermountain,TX,2022,April,59337
Big Bend,Intermountain,TX,2022,May,40722
Big Bend,Intermountain,TX,2022,June,22385
Big Bend,Intermountain,TX,2022,July,19117
Big Bend,Intermountain,TX,2022,August,14915
Big Bend,Intermountain,TX,2022,September,23710
Big Bend,Intermountain,TX,2022,October,45546
Big Bend,Intermountain,TX,2022,November,57158
Big Bend,Intermountain,TX,2022,December,51806
Biscayne,Southeast,FL,2012,January,29877
Biscayne,Southeast,FL,2012,February,28749
Biscayne,Southeast,FL,2012,March,46277
Biscayne,Southeast,FL,2012,April,44910
Biscayne,Southeast,FL,2012,May,53922
Biscayne,Southeast,FL,2012,June,49160
Biscayne,Southeast,FL,2012,July,65594
Biscayne,Southeast,FL,2012,August,46782
Biscayne,Southeast,FL,2012,September,38956
Biscayne,Southeast,FL,2012,October,32782
Biscayne,Southeast,FL,2012,November,28447
Biscayne,Southeast,FL,2012,December,30157
Biscayne,Southeast,FL,2013,January,33790
Biscayne,Southeast,FL,2013,February,29960
Biscayne,Southeast,FL,2013,March,38524
Biscayne,Southeast,FL,2013,April,40016
Biscayne,Southeast,FL,2013,May,54354
Biscayne,Southeast,FL,2013,June,55272
Biscayne,Southeast,FL,2013,July,48572
Biscayne,Southeast,FL,2013,August,61031
Biscayne,Southeast,FL,2013,September,42389
Biscayne,Southeast,FL,2013,October,36185
Biscayne,Southeast,FL,2013,November,22189
Biscayne,Southeast,FL,2013,December,24566
Biscayne,Southeast,FL,2014,January,30437
Biscayne,Southeast,FL,2014,February,41173
Biscayne,Southeast,FL,2014,March,40131
Biscayne,Southeast,FL,2014,April,46774
Biscayne,Southeast,FL,2014,May,49710
Biscayne,Southeast,FL,2014,June,58909
Biscayne,Southeast,FL,2014,July,60348
Biscayne,Southeast,FL,2014,August,62131
Biscayne,Southeast,FL,2014,September,34694
Biscayne,Southeast,FL,2014,October,44810
Biscayne,Southeast,FL,2014,November,23545
Biscayne,Southeast,FL,2014,December,33083
Biscayne,Southeast,FL,2015,January,34409
Biscayne,Southeast,FL,2015,February,29061
Biscayne,Southeast,FL,2015,March,49590
Biscayne,Southeast,FL,2015,April,54897
Biscayne,Southeast,FL,2015,May,57450
Biscayne,Southeast,FL,2015,June,51499
Biscayne,Southeast,FL,2015,July,59061
Biscayne,Southeast,FL,2015,August,53480
Biscayne,Southeast,FL,2015,September,40551
Biscayne,Southeast,FL,2015,October,27634
Biscayne,Southeast,FL,2015,November,25228
Biscayne,Southeast,FL,2015,December,25304
Biscayne,Southeast,FL,2016,January,35755
Biscayne,Southeast,FL,2016,February,30663
Biscayne,Southeast,FL,2016,March,43331
Biscayne,Southeast,FL,2016,April,50964
Biscayne,Southeast,FL,2016,May,61050
Biscayne,Southeast,FL,2016,June,43964
Biscayne,Southeast,FL,2016,July,70830
Biscayne,Southeast,FL,2016,August,46961
Biscayne,Southeast,FL,2016,September,44645
Biscayne,Southeast,FL,2016,October,24114
Biscayne,Southeast,FL,2016,November,33694
Biscayne,Southeast,FL,2016,December,28738
Biscayne,Southeast,FL,2017,January,30661
Biscayne,Southeast,FL,2017,February,34689
Biscayne,Southeast,FL,2017,March,36433
Biscayne,Southeast,FL,2017,April,41287
Biscayne,Southeast,FL,2017,May,55595
Biscayne,Southeast,FL,2017,June,46085
Biscayne,Southeast,FL,2017,July,65142
Biscayne,Southeast,FL,2017,August,41633
Biscayne,Southeast,FL,2017,September,6230
Biscayne,Southeast,FL,2017,October,19456
Biscayne,Southeast,FL,2017,November,34442
Biscayne,Southeast,FL,2017,December,35308
Biscayne,Southeast,FL,2018,January,27638
Biscayne,Southeast,FL,2018,February,32586
Biscayne,Southeast,FL,2018,March,49114
Biscayne,Southeast,FL,2018,April,53080
Biscayne,Southeast,FL,2018,May,22249
Biscayne,Southeast,FL,2018,June,52446
Biscayne,Southeast,FL,2018,July,54859
Biscayne,Southeast,FL,2018,August,46332
Biscayne,Southeast,FL,2018,September,37170
Biscayne,Southeast,FL,2018,October,29135
Biscayne,Southeast,FL,2018,November,29512
Biscayne,Southeast,FL,2018,December,35132
Biscayne,Southeast,FL,2019,January,50873
Biscayne,Southeast,FL,2019,February,59754
Biscayne,Southeast,FL,2019,March,76685
Biscayne,Southeast,FL,2019,April,64172
Biscayne,Southeast,FL,2019,May,79779
Biscayne,Southeast,FL,2019,June,65173
Biscayne,Southeast,FL,2019,July,60239
Biscayne,Southeast,FL,2019,August,46191
Biscayne,Southeast,FL,2019,September,46723
Biscayne,Southeast,FL,2019,October,38582
Biscayne,Southeast,FL,2019,November,59948
Biscayne,Southeast,FL,2019,December,60403
Biscayne,Southeast,FL,2020,January,79041
Biscayne,Southeast,FL,2020,February,91655
Biscayne,Southeast,FL,2020,March,11052
Biscayne,Southeast,FL,2020,April,2358
Biscayne,Southeast,FL,2020,May,43692
Biscayne,Southeast,FL,2020,June,32646
Biscayne,Southeast,FL,2020,July,28770
Biscayne,Southeast,FL,2020,August,34416
Biscayne,Southeast,FL,2020,September,24678
Biscayne,Southeast,FL,2020,October,17526
Biscayne,Southeast,FL,2020,November,16320
Biscayne,Southeast,FL,2020,December,20616
Biscayne,Southeast,FL,2021,January,59970
Biscayne,Southeast,FL,2021,February,56112
Biscayne,Southeast,FL,2021,March,70526
Biscayne,Southeast,FL,2021,April,63980
Biscayne,Southeast,FL,2021,May,79373
Biscayne,Southeast,FL,2021,June,55866
Biscayne,Southeast,FL,2021,July,51016
Biscayne,Southeast,FL,2021,August,46213
